year,award_no,date,location,pressented_by,category,honorary_reason,film,song,winner,speech
1960,33,1961-04-17,Santa Monica Civic Auditorium,Greer Garson,Actor,NA,Elmer Gantry,NA,Burt Lancaster,"BURT LANCASTER:
 When Miss Garson handed me this she very graciously said, ""So well earned."" And that was a lovely thing to say. I want to, needless to say I want to thank all the members of the Academy who expressed this kind of confidence in voting for me. And right now I feel so happy that I want to thank all the members of the Academy who did not vote for me. Thank you all very much.
"
1960,33,1961-04-17,Santa Monica Civic Auditorium,Eva Marie Saint,Actor in a Supporting Role,NA,Spartacus,NA,Peter Ustinov,"PETER USTINOV:
 Ladies and gentlemen, having been educated in an English school we were taught for at least fifteen years of our lives how to lose gracefully, and I'd been preparing myself for that all afternoon. Now I don't quite know what to say except that obviously, whatever people may think, you can't act by yourself. I want to thank all my colleagues, whom perhaps by what I did I prevented from winning themselves. It might have been naughtiness on my part. And also the cutter, and the producer, and the director who chose the best bits. Thank you very much indeed.
"
1960,33,1961-04-17,Santa Monica Civic Auditorium,Yul Brynner,Actress,NA,Butterfield 8,NA,Elizabeth Taylor,"ELIZABETH TAYLOR:
 I don't really know how to express my gratitude for this and for everything. I guess all I can do is say thank you, thank you with all my heart.
"
1960,33,1961-04-17,Santa Monica Civic Auditorium,Hugh Griffith,Actress in a Supporting Role,NA,Elmer Gantry,NA,Shirley Jones,"SHIRLEY JONES:
 Thank you very much. I can only think that I wouldn't be standing here tonight accepting this Oscar if it weren't for another Oscar – Hammerstein – and Mr. Richard Rodgers. And also for the belief of Mr. Burt Lancaster, Mr. Richard Brooks, and Mr. Bernie Smith having me and allowing me to play the part of ""Lulu Bains"" in ""Elmer Gantry."" This is the proudest moment of my career because of them. Thank you all.
"
1960,33,1961-04-17,Santa Monica Civic Auditorium,"Tina Louise, Tony Randall",Art Direction (Black-and-White),NA,The Apartment,NA,Art Direction: Alexander Trauner; Set Decoration: Edward G. Boyle,"EDWARD G. BOYLE:
 Thank you very much. And I'm sure Alex would wish me to say thank you for him, too.
"
1960,33,1961-04-17,Santa Monica Civic Auditorium,"Tina Louise, Tony Randall",Art Direction (Color),NA,Spartacus,NA,"Art Direction: Alexander Golitzen, Eric Orbom; Set Decoration: Russell A. Gausman, Julia Heron","ALEXANDER GOLITZEN:
 I want to thank all the artists and craftsman that helped us with this picture.

 ERIC ORBOM, JR.:
 This award represents the culmination of a man's life in his career in the movie industry. I can think of no greater achievement for a man. Thank you.
"
1960,33,1961-04-17,Santa Monica Civic Auditorium,"Cyd Charisse, Tony Martin",Cinematography (Black-and-White),NA,Sons and Lovers,NA,Freddie Francis,"JERRY WALD:
 I am not Freddie Francis, but I am accepting for him. Thank you very much.
"
1960,33,1961-04-17,Santa Monica Civic Auditorium,"Cyd Charisse, Tony Martin",Cinematography (Color),NA,Spartacus,NA,Russell Metty,"RUSSELL METTY:
 Very happy to accept this and I want to thank all my crew and group that helped make ""Spartacus"" what it turned out to be. Thank you.
"
1960,33,1961-04-17,Santa Monica Civic Auditorium,"Barbara Rush, Robert Stack",Costume Design (Black-and-White),NA,The Facts of Life,NA,"Edith Head, Edward Stevenson","EDWARD STEVENSON:
 I thank you all. My thanks to Edith Head and Lucille Ball.

 EDITH HEAD:
 I am so very proud and so very grateful. Thank you all so much.
"
1960,33,1961-04-17,Santa Monica Civic Auditorium,"Barbara Rush, Robert Stack",Costume Design (Color),NA,Spartacus,NA,"Valles, Bill Thomas","BILL THOMAS:
 Thank you all very, very much from both Val and myself. We certainly do appreciate it.

 VALLES:
 Thank you indeed.
"
1960,33,1961-04-17,Santa Monica Civic Auditorium,Gina Lollobrigida,Directing,NA,The Apartment,NA,Billy Wilder,"BILLY WIDER:
 Thank you so much, you lovely discerning people. Thank you.
"
1960,33,1961-04-17,Santa Monica Civic Auditorium,"Janet Leigh, Tony Curtis",Documentary (Feature),NA,The Horse with the Flying Tail,NA,"Larry Lansburgh, Producer","LARRY LANSBURGH:
 And a very special thanks to Walt Disney and my sincere appreciation to the United States Equestrian Team. Thank you.
"
1960,33,1961-04-17,Santa Monica Civic Auditorium,"Janet Leigh, Tony Curtis",Documentary (Short Subject),NA,Giuseppina,NA,"James Hill, Producer","CHARLES TOWILL:
 A big thank you from James Hill. [unintelligible] ""Giuseppina"" to the Academy for this high honor.
"
1960,33,1961-04-17,Santa Monica Civic Auditorium,"Betty Comden, Adolph Green",Film Editing,NA,The Apartment,NA,Daniel Mandell,"DANIEL MANDELL:
 To those who made this possible I am very, very grateful. Thank you.
"
1960,33,1961-04-17,Santa Monica Civic Auditorium,Eric Johnston,Foreign Language Film,NA,The Virgin Spring,NA,Sweden,"CYRUS J. HARVEY:
 I'm proud to accept on behalf of Svensk Filmindustri and all those responsible for ""The Virgin Spring"": Ingmar Bergman, the director; Ulla Isaksson, the screenwriter; Dr. Carl Anders Dymling, the producer. Tack så mycket.
"
1960,33,1961-04-17,Santa Monica Civic Auditorium,"Sandra Dee, Bobby Darin",Music (Music Score of a Dramatic or Comedy Picture),NA,Exodus,NA,Ernest Gold,"ERNEST GOLD:
 She [presenter Sandra Dee] thought she was nervous, she should see how I feel. Ladies and gentlemen, this is a very great honor indeed and it is customary at this time to thank the many people that have contributed to such an achievement. But I would like to thank one man who, paradoxically, had nothing to do with ""Exodus,"" but had very much to do with me being here tonight. A man who has cheered me on, who has restored my confidence when it was waning, and has been a great friend: our music supervisor, Mr. Bobby Helfer.
"
1960,33,1961-04-17,Santa Monica Civic Auditorium,"Sandra Dee, Bobby Darin",Music (Scoring of a Musical Picture),NA,Song without End (The Story of Franz Liszt),NA,"Morris Stoloff, Harry Sukman","HARRY SUKMAN:
 And for Morris Stoloff and myself, thank you for this very great honor. Thank you again.
"
1960,33,1961-04-17,Santa Monica Civic Auditorium,"Steve Allen, Jayne Meadows",Music (Song),NA,Never on Sunday,"""Never On Sunday""",Music and Lyrics by Manos Hadjidakis,NA
1960,33,1961-04-17,Santa Monica Civic Auditorium,Audrey Hepburn,Best Motion Picture,NA,The Apartment,NA,"Billy Wilder, Producer","BILLY WILDER:
 I don't know what to say. This award, of course, belongs to the entire team: the technicians, and the actors, the extras, the wonderful people on the back lot, and the wonderful Mirisches in the front office. But I think it would be only proper to cut it right in half and to give it to the two most valuable players: Mr. Jack Lemmon and Miss Shirley MacLaine. Thank you.
"
1960,33,1961-04-17,Santa Monica Civic Auditorium,"Susan Strasberg, Wendell Corey",Short Subject (Cartoon),NA,Munro,NA,"William L. Snyder, Producer","WILLIAM L. SNYDER:
 For Gene, and Jules, and Al, and a hundred people that it takes to make a cartoon, thank you very much.
"
1960,33,1961-04-17,Santa Monica Civic Auditorium,"Susan Strasberg, Wendell Corey",Short Subject (Live Action),NA,Day of the Painter,NA,"Ezra R. Baker, Producer","EZRA R. BAKER:
 I'd like to share this moment with my two partners: Robert Davis of Bronxville, New York, and Duard Slattery of Wilkes-Barre, Pennsylvania. My love to my wife Patricia and my son Michael. Thank you.
"
1960,33,1961-04-17,Santa Monica Civic Auditorium,"Jim Hutton, Paula Prentiss",Sound,NA,The Alamo,NA,"Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer, Sound Director; and Todd-AO Sound Department, Fred Hynes, Sound Director","GORDON E. SAWYER:
 The Samuel Goldwyn Sound Department wishes to thank the members of the Academy for this honor that they have bestowed upon us. Thank you.

 FRED HYNES:
 The Todd-AO Sound Department would also like to thank the Academy and all the members. And thanks again. Wonderful.
"
1960,33,1961-04-17,Santa Monica Civic Auditorium,"Polly Bergen, Richard Widmark",Special Effects,NA,The Time Machine,NA,"Visual Effects by Gene Warren, Tim Baar","GENE WARREN:
 It's an honor to share this with our associate Wah Chang.

 TIM BAAR:
 I'd also like to share this honor with the real master of special effects, the producer of ""Time Machine,"" George Pal.
"
1960,33,1961-04-17,Santa Monica Civic Auditorium,"Kitty Carlisle, Moss Hart",Writing (Screenplay--based on material from another medium),NA,Elmer Gantry,NA,Richard Brooks,"RICHARD BROOKS:
 The Bible says that first came the word. But probably before the word there was an idea or a concept; in the case of ""Elmer Gantry"" that belongs to Sinclair Lewis. So many other people to thank that I don't have the time; so, why don't we do this again. Thank you.
"
1960,33,1961-04-17,Santa Monica Civic Auditorium,"Kitty Carlisle, Moss Hart",Writing (Story and Screenplay--written directly for the screen),NA,The Apartment,NA,"Billy Wilder, I. A. L. Diamond","BILLY WILDER:
 Thank you, I.A.L. Diamond.

 I.A.L. DIAMOND:
 Thank you, Billy Wilder.
"
1960,33,1961-04-17,Santa Monica Civic Auditorium,"April 17, 1961; Santa Monica Civic Auditorium",Jean Hersholt Humanitarian Award,,NA,NA,Sol Lesser,NA
1960,33,1961-04-17,Santa Monica Civic Auditorium,William Wyler,Honorary Award,"for his many memorable screen performances and the international recognition he, as an individual, has gained for the motion picture industry.",NA,NA,Gary Cooper,"JAMES STEWART:
 I'm very honored to accept this award for Gary Cooper; I'm only sorry that he isn't here tonight to accept it in person. But I know that he's sitting beside his television set tonight. So, Coop, I'll get this to you right away. And, Coop, I want you to know this: that with this goes all the warm friendship, and the affection, and the admiration, and the deep, the deep respect of all of us. We're very, very proud of you, Coop. All of us are tremendously proud.
"
1960,33,1961-04-17,Santa Monica Civic Auditorium,Danny Kaye,Honorary Award,for his creative pioneering in the field of cinema comedy.,NA,NA,Stan Laurel,"DANNY KAYE:
 Ladies and gentlemen, when the fat man with the derby hat and the tall, thin man with the sad face first came on the screen together, that was way back in 1926. They made the world laugh [for] 24 years. Twenty-four years. And they made us laugh because in them we kind of saw ourselves – ridiculous, frustrated, up to our necks in trouble, but nevertheless ourselves. Oliver Hardy delicately tipped his derby hat with his pudgy little fingers and left us a little while back. But the thin, sad-faced one, the one from whose fertile mind sprang many of the universally humorous notions that have been borrowed so freely by the comedians who have followed, he's still with us. Unhappily, he isn't well enough to be here with us this evening, but I'm very proud indeed to accept for him from the Board of Governors this award for ""creative pioneering in the field of comedy,"" presented to one of the really great men of our chosen profession, Mr. Stan Laurel.
"
1960,33,1961-04-17,Santa Monica Civic Auditorium,Shirley Temple,Honorary Award,NA,Pollyanna,NA,"To Hayley Mills for ""Pollyanna,"" the most outstanding juvenile performance during 1960.","ANNETTE FUNICELLO:
 On behalf of Hayley Mills and Walt Disney, thank you very much. Thank you, Shirley.
"
1961,34,1962-04-09,Santa Monica Civic Auditorium,Joan Crawford,Actor,NA,Judgment at Nuremberg,NA,Maximilian Schell,"MAXIMILIAN SCHELL:
 Ladies and gentlemen, I know this award honors not only me but also the picture ""Judgment at Nuremberg,"" my wonderful director, and the great cast and especially that great old man who was nominated for the eighth time now, Spencer Tracy.

 When I came first to this country I met the custom man. And he was asking what I was doing here and I said I'm going to do a film. And he said to me: ""Good luck, boy."" And I think that was very unusual for a custom man, and I can tell him now that I had it. Thank you very much.
"
1961,34,1962-04-09,Santa Monica Civic Auditorium,Shirley Jones,Actor in a Supporting Role,NA,West Side Story,NA,George Chakiris,"GEORGE CHAKIRIS:
 I don't think I'll try and talk too much. I just want to say thank you very, very much. Thank you.
"
1961,34,1962-04-09,Santa Monica Civic Auditorium,Burt Lancaster,Actress,NA,Two Women,NA,Sophia Loren,"GREER GARSON:
 Oh, it's such an exciting moment. I'm honored to accept this for Miss Sophia Loren and I wish so very much she could be with us tonight so that all of us here and our great television audience could share this exciting moment with this wildly beautiful and talented girl. Congratulations, Sophia, wherever you are. And we do so earnestly wish you good health and happiness along with this wonderful award.
"
1961,34,1962-04-09,Santa Monica Civic Auditorium,Rock Hudson,Actress in a Supporting Role,NA,West Side Story,NA,Rita Moreno,"RITA MORENO:
 I can't believe it! Good Lord. I leave you with that.
"
1961,34,1962-04-09,Santa Monica Civic Auditorium,"Carroll Baker, Richard Chamberlain",Art Direction (Black-and-White),NA,The Hustler,NA,Art Direction: Harry Horner; Set Decoration: Gene Callahan,"WILLIAM FADIMAN:
 On behalf of Harry Horner, a Hollywood man in Toronto tonight working on a set for Seattle World's Fair, thank you.
"
1961,34,1962-04-09,Santa Monica Civic Auditorium,"Carroll Baker, Richard Chamberlain",Art Direction (Color),NA,West Side Story,NA,Art Direction: Boris Leven; Set Decoration: Victor A. Gangelin,"BORIS LEVEN:
 Thank you very much. I'm deeply grateful for this honor.

 VICTOR A. GANGELIN:
 I am very deeply grateful to Bob Wise and the Mirisch Company. Thank you.
"
1961,34,1962-04-09,Santa Monica Civic Auditorium,"Shelley Winters, Vincent Edwards",Cinematography (Black-and-White),NA,The Hustler,NA,Eugen Shuftan,"HOWARD KEEL:
 On behalf of Mr. Shuftan, I don't know where he is tonight, but I'm sure he'd like to thank his gaffer and the rest of his crew and that he's probably very happy about this. Thank you.
"
